,Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area
232,232,10017,Aft Hosp Dr,1.278320466,103.8376257,Eu Tong Sen St,Bukit Merah
233,233,10018,Outram Pk Stn Exit F/SGH,1.279008197,103.8386036,Eu Tong Sen St,Bukit Merah
234,234,10021,Blk 3,1.277448379,103.8383889,Neil Rd,Bukit Merah
235,235,10041,BEF KAMPONG BAHRU TER,1.276058348,103.8351907,Kg Bahru Rd,Bukit Merah
236,236,10049,OPP KAMPONG BAHRU TER,1.276233024,103.8348379,Kg Bahru Rd,Bukit Merah
237,237,10051,Blk 149,1.277411635,103.8321441,Jln Bt Merah,Bukit Merah
238,238,10059,Opp Blk 149,1.277396642,103.8327518,Jln Bt Merah,Bukit Merah
239,239,10061,Blk 140,1.278604722,103.8294864,Jln Bt Merah,Bukit Merah
240,240,10069,Opp Blk 140,1.278554722,103.8300825,Jln Bt Merah,Bukit Merah
241,241,10071,Blk 111,1.280453094,103.8263892,Jln Bt Merah,Bukit Merah
242,242,10079,Blk 201,1.280395014,103.8270891,Jln Bt Merah,Bukit Merah
243,243,10081,Opp Blk 120,1.282278354,103.8224174,Jln Bt Merah,Bukit Merah
244,244,10089,Blk 119,1.282923322,103.8216566,Jln Bt Merah,Bukit Merah
245,245,10091,Bt Merah Town Ctr,1.283941086,103.8178396,Jln Bt Merah,Bukit Merah
246,246,10099,Opp Bt Merah Town Ctr,1.284209239,103.8176572,Jln Bt Merah,Bukit Merah
247,247,10101,OPP BT MERAH SEC SCH,1.285061952,103.8137833,Jln Bt Merah,Bukit Merah
248,248,10109,BT MERAH SEC SCH,1.285353157,103.8137053,Jln Bt Merah,Bukit Merah
249,249,10111,Opp Blk 28,1.285928351,103.8093541,Jln Bt Merah,Bukit Merah
250,250,10119,Opp Pacific Tech Ctr,1.28598009,103.8112252,Jln Bt Merah,Bukit Merah
251,251,10121,Blk 126 CP,1.282599246,103.8289054,Kim Tian Rd,Bukit Merah
252,252,10129,Blk 121,1.28232,103.8285719,Kim Tian Rd,Bukit Merah
253,253,10131,Opp Blk 2,1.286191414,103.8068655,Jln Bt Merah,Bukit Merah
254,254,10139,Blk 1,1.286351354,103.8081,Jln Bt Merah,Bukit Merah
255,255,10141,Blk 18,1.285838471,103.8323818,Tiong Bahru Rd,Bukit Merah
256,256,10149,Blk 1,1.286067975,103.8328338,Tiong Bahru Rd,Bukit Merah
257,257,10151,Ctrl Green Condo,1.285720484,103.8285292,Tiong Bahru Rd,Bukit Merah
258,258,10161,Opp Tiong Bahru Stn,1.285931354,103.8266897,Tiong Bahru Rd,Bukit Merah
259,259,10169,Tiong Bahru Stn,1.285999614,103.8274812,Tiong Bahru Rd,Bukit Merah
260,260,10171,Opp Tiong Bahru Pk,1.28736808,103.82346,Tiong Bahru Rd,Bukit Merah
261,261,10179,Tiong Bahru Pk,1.287223333,103.8239583,Tiong Bahru Rd,Bukit Merah
262,262,10181,BEF AR-RABITAH MQUE,1.288503994,103.8210974,Tiong Bahru Rd,Bukit Merah
263,263,10189,Blk 104A CP,1.288588052,103.8218319,Tiong Bahru Rd,Bukit Merah
264,264,10191,Blk 78,1.28860026,103.8190312,Tiong Bahru Rd,Bukit Merah
265,265,10199,Delta Swim Cplx,1.288757233,103.8193662,Tiong Bahru Rd,Bukit Merah
266,266,10201,Opp Redhill Stn,1.289281445,103.8166285,Tiong Bahru Rd,Bukit Merah
267,267,10209,Redhill Stn,1.289546317,103.8167289,Tiong Bahru Rd,Bukit Merah
268,268,10211,Porsche Ctr S'pore,1.290755,103.8114417,Leng Kee Rd,Bukit Merah
269,269,10219,Opp Motor Image,1.290895267,103.8119142,Leng Kee Rd,Bukit Merah
270,270,10221,Ganges Ctr,1.290329066,103.8311179,Ganges Ave,Bukit Merah
271,271,10229,Opp Harvest Mansions,1.290521378,103.8317819,Ganges Ave,Bukit Merah
272,272,10231,Blk 51 CP,1.290418509,103.827881,Ganges Ave,Bukit Merah
273,273,10239,Blk 79,1.290606888,103.828653,Ganges Ave,Bukit Merah
274,274,10241,Gan Eng Seng Sec Sch,1.290616667,103.8236233,Alexandra Rd,Bukit Merah
275,275,10249,Opp Gan Eng Seng Sec Sch,1.290881389,103.8240778,Alexandra Rd,Bukit Merah
276,276,10261,Delta Sports Hall,1.290903358,103.8204723,Alexandra Rd,Bukit Merah
277,277,10269,Opp Delta Sports Hall,1.291253319,103.8205758,Alexandra Rd,Bukit Merah
278,278,10271,Opp Tanglin View,1.29116,103.8175767,Alexandra Rd,Bukit Merah
279,279,10279,Tanglin View,1.291513732,103.8175766,Alexandra Rd,Bukit Merah
280,280,10281,SIS Bldg,1.291538333,103.8144517,Alexandra Rd,Bukit Merah
281,281,10289,Opp SIS Bldg,1.291869975,103.8144064,Alexandra Rd,Queenstown
282,282,10291,Bef Dawson Rd,1.292158553,103.8106587,Alexandra Rd,Bukit Merah
283,283,10299,Aft Dawson Rd,1.292334985,103.8114649,Alexandra Rd,Queenstown
284,284,10321,Aft Margaret Dr,1.294283329,103.8158784,Tanglin Rd,Queenstown
285,285,10329,Crescent Girls' Sch,1.293646713,103.8159746,Tanglin Rd,Bukit Merah
286,286,10331,Bef Bt Merah Ctrl,1.281363066,103.8183442,Henderson Rd,Bukit Merah
287,287,10339,Aft Bt Merah Ctrl,1.281158351,103.8185725,Henderson Rd,Bukit Merah
288,288,10341,Opp Blk 116,1.284846396,103.820593,Henderson Rd,Bukit Merah
