BusStopCode,planning_area,Longitude,Latitude,subzone_name
11301,Bukit Timah,103.7879007,1.318039721,Holland Road
11309,Bukit Timah,103.7884299,1.318624439,Leedon Park
11311,Bukit Timah,103.7891869,1.319896389,Holland Road
11319,Bukit Timah,103.7895997,1.32030638,Leedon Park
11321,Bukit Timah,103.7901036,1.321231389,Holland Road
11329,Bukit Timah,103.7909809,1.322361397,Leedon Park
11331,Bukit Timah,103.7914467,1.323209188,Holland Road
11339,Bukit Timah,103.7920472,1.323986389,Leedon Park
11341,Bukit Timah,103.7928279,1.325515062,Holland Road
11349,Bukit Timah,103.7930739,1.325666111,Coronation Road
11351,Queenstown,103.7894511,1.309345712,Ghim Moh
11359,Queenstown,103.7896861,1.309310226,Ghim Moh
11361,Queenstown,103.7905812,1.306496986,One North
11369,Queenstown,103.7908483,1.306325964,One North
11379,Queenstown,103.7923632,1.309170025,Holland Drive
11381,Queenstown,103.7932829,1.308411379,Holland Drive
11389,Queenstown,103.7929322,1.30906501,Holland Drive
11401,Queenstown,103.7950744,1.309067222,Holland Drive
11409,Queenstown,103.7943258,1.307644167,Holland Drive
11419,Bukit Timah,103.796044,1.311029814,Leedon Park
11429,Queenstown,103.7983633,1.30454,Commonwealth
11439,Queenstown,103.8002978,1.306064722,Commonwealth
11441,Queenstown,103.7975406,1.297804167,Tanglin Halt
11449,Queenstown,103.7976033,1.298405278,Tanglin Halt
11451,Queenstown,103.7970728,1.300349722,Tanglin Halt
11459,Queenstown,103.7968519,1.300970556,Tanglin Halt
11469,Queenstown,103.8018858,1.301135034,Margaret Drive
11471,Queenstown,103.8031516,1.299518926,Margaret Drive
11479,Queenstown,103.8037199,1.299380751,Margaret Drive
11481,Queenstown,103.8060054,1.298115189,Margaret Drive
11489,Queenstown,103.8049972,1.298453515,Margaret Drive
11491,Queenstown,103.8076365,1.297102028,Margaret Drive
11499,Queenstown,103.8078866,1.296850536,Margaret Drive
11511,Bukit Merah,103.8025188,1.285946874,Queensway
11519,Queenstown,103.8033413,1.286657422,Alexandra Hill
11521,Queenstown,103.80543,1.28857101,Mei Chin
11529,Bukit Merah,103.8060909,1.289031206,Alexandra Hill
11531,Bukit Merah,103.8075308,1.291088333,Mei Chin
11539,Bukit Merah,103.8078618,1.291170495,Alexandra Hill
11541,Queenstown,103.805785,1.29235984,Mei Chin
11551,Queenstown,103.804096,1.291267031,Mei Chin
11561,Queenstown,103.8024759,1.29107396,Mei Chin
11579,Queenstown,103.8030332,1.292564891,Mei Chin
11589,Queenstown,103.8040052,1.292991881,Mei Chin
11599,Queenstown,103.8031489,1.294208056,Mei Chin
11609,Queenstown,103.8021219,1.291889722,Mei Chin
12021,Bukit Timah,103.7824306,1.319076389,Ulu Pandan
12029,Bukit Timah,103.7824392,1.319583694,Holland Road
12031,Bukit Timah,103.7796286,1.320800851,Ulu Pandan
12039,Bukit Timah,103.78019,1.321045262,Holland Road
12041,Bukit Timah,103.7765344,1.320491727,Ulu Pandan
12049,Bukit Timah,103.7765589,1.32091132,Holland Road
12051,Bukit Timah,103.7750613,1.320428951,Ulu Pandan
12059,Bukit Timah,103.775159,1.320727311,Holland Road
12061,Clementi,103.7708734,1.321785002,Sunset Way
12069,Bukit Timah,103.7710419,1.321433056,Holland Road
12071,Clementi,103.7721939,1.3240225,Sunset Way
12079,Bukit Timah,103.7726309,1.323831876,Holland Road
12081,Clementi,103.77543,1.326468056,Sunset Way
12089,Bukit Timah,103.7757089,1.326261111,Holland Road
12091,Bukit Timah,103.7771471,1.329183155,Anak Bukit
12099,Bukit Timah,103.7767036,1.327838056,Holland Road
12101,Bukit Timah,103.7776851,1.332438964,Anak Bukit
12109,Bukit Timah,103.7780086,1.330819444,Holland Road
12111,Bukit Timah,103.7722298,1.319117911,Ulu Pandan
12119,Bukit Timah,103.7727927,1.319645982,Holland Road
12121,Queenstown,103.7871517,1.311648333,Ghim Moh
12129,Queenstown,103.7873261,1.311821111,Ghim Moh
12131,Bukit Timah,103.7850617,1.314159444,Ulu Pandan
12139,Bukit Timah,103.7850416,1.314531859,Ghim Moh
12141,Bukit Timah,103.7823915,1.315743898,Ulu Pandan
12149,Bukit Timah,103.782661,1.315769005,Ulu Pandan
12151,Bukit Timah,103.7812757,1.318650645,Ulu Pandan
12169,Bukit Timah,103.7772417,1.319165492,Ulu Pandan
12179,Bukit Timah,103.7769949,1.316795047,Ulu Pandan
