"from","to","DAY_TYPE","weight","category"
"134","175","WEEKENDS/HOLIDAY",40,1
"237","175","WEEKDAY",5520,1
"72","175","WEEKENDS/HOLIDAY",20,1
"153","175","WEEKDAY",180,1
"220","175","WEEKENDS/HOLIDAY",100,1
"177","175","WEEKDAY",500,1
"220","175","WEEKDAY",40,1
"72","175","WEEKDAY",20,1
"177","175","WEEKENDS/HOLIDAY",200,1
"136","173","WEEKDAY",20,1
"183","173","WEEKDAY",3100,1
"183","173","WEEKENDS/HOLIDAY",800,1
"211","151","WEEKDAY",60,1
"206","151","WEEKENDS/HOLIDAY",140,1
"90","151","WEEKENDS/HOLIDAY",40,1
"211","151","WEEKENDS/HOLIDAY",20,1
"206","151","WEEKDAY",120,1
"173","151","WEEKDAY",300,1
"173","151","WEEKENDS/HOLIDAY",140,1
"168","151","WEEKDAY",40,1
"168","151","WEEKENDS/HOLIDAY",20,1
"200","174","WEEKDAY",20,1
"152","174","WEEKDAY",2600,1
"147","174","WEEKDAY",140,1
"149","174","WEEKENDS/HOLIDAY",20,1
"136","174","WEEKDAY",551,1
"147","174","WEEKENDS/HOLIDAY",80,1
"152","174","WEEKENDS/HOLIDAY",980,1
"136","174","WEEKENDS/HOLIDAY",305,1
"4","7","WEEKDAY",84,1
"62","7","WEEKDAY",60,1
"61","7","WEEKDAY",20,1
"54","7","WEEKENDS/HOLIDAY",234,1
"167","7","WEEKENDS/HOLIDAY",20,1
"9","7","WEEKDAY",18,1
"101","7","WEEKDAY",2,1
"4","7","WEEKENDS/HOLIDAY",24,1
"54","7","WEEKDAY",558,1
"153","35","WEEKDAY",20,1
"105","35","WEEKDAY",40,1
"30","35","WEEKDAY",620,1
"49","35","WEEKENDS/HOLIDAY",140,1
"241","35","WEEKENDS/HOLIDAY",140,1
"106","35","WEEKENDS/HOLIDAY",20,1
"49","35","WEEKDAY",300,1
"103","35","WEEKENDS/HOLIDAY",60,1
"15","35","WEEKENDS/HOLIDAY",480,1
"103","35","WEEKDAY",320,1
"24","35","WEEKDAY",80,1
"30","35","WEEKENDS/HOLIDAY",140,1
"106","35","WEEKDAY",160,1
"241","35","WEEKDAY",180,1
"24","35","WEEKENDS/HOLIDAY",20,1
"15","35","WEEKDAY",1120,1
"162","35","WEEKENDS/HOLIDAY",20,1
"120","27","WEEKDAY",114,1
"238","27","WEEKDAY",72,1
"275","27","WEEKDAY",90,1
"29","27","WEEKENDS/HOLIDAY",4,1
"120","27","WEEKENDS/HOLIDAY",2,1
"29","27","WEEKDAY",64,1
"68","27","WEEKDAY",6,1
"92","27","WEEKDAY",216,1
"24","27","WEEKENDS/HOLIDAY",10,1
"157","27","WEEKDAY",90,1
"100","27","WEEKENDS/HOLIDAY",72,1
"24","27","WEEKDAY",50,1
"82","27","WEEKENDS/HOLIDAY",18,1
"61","27","WEEKDAY",36,1
"68","27","WEEKENDS/HOLIDAY",4,1
"15","27","WEEKDAY",252,1
"82","27","WEEKDAY",324,1
"15","27","WEEKENDS/HOLIDAY",18,1
"100","27","WEEKDAY",216,1
"9","27","WEEKDAY",18,1
"210","31","WEEKDAY",540,1
"240","31","WEEKENDS/HOLIDAY",6,1
"110","31","WEEKDAY",14,1
"69","31","WEEKENDS/HOLIDAY",2,1
"103","31","WEEKDAY",10,1
"48","31","WEEKENDS/HOLIDAY",144,1
"45","31","WEEKDAY",1530,1
"48","31","WEEKDAY",216,1
"165","31","WEEKENDS/HOLIDAY",2,1
"100","31","WEEKENDS/HOLIDAY",18,1
"110","31","WEEKENDS/HOLIDAY",6,1
"100","31","WEEKDAY",648,1
"58","31","WEEKDAY",234,1
"224","31","WEEKDAY",1548,1
"135","31","WEEKDAY",4,1
"284","31","WEEKDAY",72,1
"240","31","WEEKDAY",2,1
"69","31","WEEKDAY",10,1
"83","313","WEEKENDS/HOLIDAY",40,1
"279","313","WEEKENDS/HOLIDAY",820,1
"228","313","WEEKDAY",40,1
"318","313","WEEKDAY",20,1
"169","313","WEEKENDS/HOLIDAY",80,1
"279","313","WEEKDAY",800,1
"313","313","WEEKDAY",200,1
"313","313","WEEKENDS/HOLIDAY",60,1
"169","313","WEEKDAY",280,1
"291","269","WEEKENDS/HOLIDAY",420,1
"214","269","WEEKENDS/HOLIDAY",40,1
"254","269","WEEKENDS/HOLIDAY",40,1
"291","269","WEEKDAY",920,1
"182","269","WEEKDAY",620,1
"214","269","WEEKDAY",380,1
"254","269","WEEKDAY",300,1
"199","269","WEEKENDS/HOLIDAY",40,1
"182","269","WEEKENDS/HOLIDAY",760,1
"308","269","WEEKENDS/HOLIDAY",20,1
"69","269","WEEKDAY",20,1
"90","269","WEEKENDS/HOLIDAY",80,1
"269","269","WEEKDAY",40,1
"46","269","WEEKDAY",220,1
"273","269","WEEKDAY",200,1
"272","269","WEEKDAY",120,1
"273","269","WEEKENDS/HOLIDAY",140,1
"208","269","WEEKDAY",40,1
"69","269","WEEKENDS/HOLIDAY",20,1
"265","269","WEEKDAY",20,1
"189","269","WEEKDAY",1320,1
"189","269","WEEKENDS/HOLIDAY",500,1
"272","269","WEEKENDS/HOLIDAY",40,1
"90","269","WEEKDAY",80,1
"199","269","WEEKDAY",80,1
"273","271","WEEKDAY",100,1
"246","271","WEEKDAY",1240,1
"199","271","WEEKENDS/HOLIDAY",200,1
"189","271","WEEKDAY",1100,1
"254","271","WEEKDAY",260,1
"229","271","WEEKDAY",40,1
"199","271","WEEKDAY",400,1
"189","271","WEEKENDS/HOLIDAY",500,1
"246","271","WEEKENDS/HOLIDAY",880,1
"221","221","WEEKDAY",100,1
"189","221","WEEKENDS/HOLIDAY",560,1
"269","221","WEEKENDS/HOLIDAY",20,1
"199","221","WEEKENDS/HOLIDAY",20,1
"218","221","WEEKDAY",100,1
"189","221","WEEKDAY",2000,1
"199","221","WEEKDAY",40,1
"27","95","WEEKENDS/HOLIDAY",20,1
"27","95","WEEKDAY",1340,1
"240","95","WEEKDAY",18,1
