"from","to","DAY_TYPE","weight","category"
"70","181","WEEKDAY",20,1
"168","181","WEEKDAY",20,1
"313","181","WEEKENDS/HOLIDAY",440,1
"170","181","WEEKDAY",20,1
"231","181","WEEKENDS/HOLIDAY",60,1
"236","181","WEEKENDS/HOLIDAY",6440,1
"240","181","WEEKDAY",2580,1
"153","181","WEEKENDS/HOLIDAY",100,1
"153","181","WEEKDAY",100,1
"240","181","WEEKENDS/HOLIDAY",1140,1
"180","181","WEEKDAY",1880,1
"131","181","WEEKENDS/HOLIDAY",100,1
"14","181","WEEKENDS/HOLIDAY",220,1
"194","181","WEEKENDS/HOLIDAY",20,1
"186","181","WEEKDAY",1040,1
"250","181","WEEKDAY",40,1
"126","181","WEEKENDS/HOLIDAY",40,1
"180","181","WEEKENDS/HOLIDAY",580,1
"88","181","WEEKENDS/HOLIDAY",20,1
"156","181","WEEKENDS/HOLIDAY",140,1
"273","181","WEEKDAY",40,1
"64","181","WEEKDAY",40,1
"211","181","WEEKDAY",40,1
"14","181","WEEKDAY",160,1
"97","181","WEEKENDS/HOLIDAY",20,1
"248","181","WEEKENDS/HOLIDAY",80,1
"217","181","WEEKENDS/HOLIDAY",80,1
"156","181","WEEKDAY",100,1
"313","181","WEEKDAY",320,1
"231","181","WEEKDAY",80,1
"186","181","WEEKENDS/HOLIDAY",140,1
"83","181","WEEKENDS/HOLIDAY",40,1
"271","181","WEEKDAY",300,1
"248","181","WEEKDAY",60,1
"260","181","WEEKDAY",20,1
"236","181","WEEKDAY",4220,1
"262","181","WEEKENDS/HOLIDAY",40,1
"217","181","WEEKDAY",160,1
"194","181","WEEKDAY",60,1
"273","181","WEEKENDS/HOLIDAY",40,1
"271","181","WEEKENDS/HOLIDAY",160,1
"218","181","WEEKDAY",540,1
"88","181","WEEKDAY",120,1
"218","181","WEEKENDS/HOLIDAY",400,1
"48","3","WEEKDAY",80,1
"58","3","WEEKDAY",70,1
"100","3","WEEKENDS/HOLIDAY",56,1
"96","3","WEEKENDS/HOLIDAY",18,1
"239","3","WEEKDAY",72,1
"53","3","WEEKENDS/HOLIDAY",162,1
"126","3","WEEKDAY",756,1
"138","3","WEEKDAY",18,1
"53","3","WEEKDAY",270,1
"138","3","WEEKENDS/HOLIDAY",18,1
"100","3","WEEKDAY",86,1
"183","3","WEEKDAY",2,1
"133","3","WEEKENDS/HOLIDAY",36,1
"170","3","WEEKDAY",72,1
"58","3","WEEKENDS/HOLIDAY",38,1
"68","3","WEEKENDS/HOLIDAY",2,1
"103","3","WEEKENDS/HOLIDAY",36,1
"103","3","WEEKDAY",18,1
"8","3","WEEKDAY",2,1
"60","3","WEEKENDS/HOLIDAY",144,1
"110","3","WEEKDAY",66,1
"60","3","WEEKDAY",126,1
"213","3","WEEKENDS/HOLIDAY",36,1
"163","3","WEEKENDS/HOLIDAY",56,1
"68","3","WEEKDAY",4,1
"137","3","WEEKDAY",18,1
"118","3","WEEKENDS/HOLIDAY",2,1
"163","3","WEEKDAY",206,1
"222","3","WEEKDAY",2,1
"118","3","WEEKDAY",8,1
"272","3","WEEKENDS/HOLIDAY",18,1
"126","3","WEEKENDS/HOLIDAY",414,1
"237","132","WEEKDAY",120,1
"83","132","WEEKENDS/HOLIDAY",20,1
"197","132","WEEKDAY",120,1
"237","132","WEEKENDS/HOLIDAY",20,1
"156","132","WEEKENDS/HOLIDAY",20,1
"109","132","WEEKENDS/HOLIDAY",1020,1
"58","132","WEEKENDS/HOLIDAY",160,1
"156","132","WEEKDAY",20,1
"219","132","WEEKENDS/HOLIDAY",220,1
