"id","name","district","x","y","weight"
"115","TUKANG","West Region",14192.4654,34209.5506,21
"116","CORONATION ROAD","Central Region",24463.149,34200.3339,10
"117","KEMBANGAN","East Region",37158.7015,34115.9683,31
"118","KATONG","Central Region",35680.9007,32176.3506,16
"119","HOLLAND DRIVE","Central Region",23711.437,32294.7721,8
"120","FARRER PARK","Central Region",30093.4152,32386.2107,4
"121","NEWTON CIRCUS","Central Region",28587.1626,32653.9428,5
"122","JURONG PORT","West Region",15250.7433,32183.916,8
"123","SAMULUN","West Region",13418.4922,32264.5933,15
"124","SHIPYARD","West Region",11970.1428,32202.3854,12
"125","GHIM MOH","Central Region",22899.1897,32579.9353,8
"126","LAVENDER","Central Region",30874.4064,32569.5264,13
"127","GOODWOOD PARK","Central Region",28108.8807,32875.267,3
"128","PANDAN","West Region",19228.6033,32265.401,9
"129","SINGAPORE POLYTECHNIC","Central Region",21751.751,32627.8947,11
"130","CLEMENTI CENTRAL","West Region",20183.4496,32707.5394,15
"131","KAMPONG JAVA","Central Region",29891.5311,32888.5297,16
"132","BOON KENG","Central Region",32338.3212,33018.7607,8
"133","KALLANG BAHRU","Central Region",31579.2889,32929.5276,12
"134","ULU PANDAN","Central Region",22210.5093,33177.2208,17
"135","JURONG GATEWAY","West Region",17912.9778,35033.9061,11
"136","HOLLAND ROAD","Central Region",22485.0193,34364.2896,24
"137","KAMPONG UBI","Central Region",35039.5495,34647.2633,37
"138","SENNETT","Central Region",32485.4898,35050.1965,9
"139","POTONG PASIR","Central Region",31596.799,35028.1043,11
"140","TUAS NORTH","West Region",7737.0329,34331.0851,57
"141","PEI CHUN","Central Region",30814.3282,35440.9703,9
"142","BOON TECK","Central Region",30193.1349,35272.7474,13
"143","KIAN TECK","West Region",12929.7451,34857.7532,34
"144","SAFTI","West Region",11290.2674,35199.6704,5
