,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,BusStopCode_x,RoadName_Origin,Description_Origin,Planning_Area_Origin,Latitude_Origin,Longitude_Origin,BusStopCode_y,RoadName_Destination,Description_Destination,Planning_Area_Destination,Latitude_Destination,Longitude_Destination
5830,2020-01,WEEKDAY,23,BUS,1211,60021,120,1211.0,Victoria St,Opp Blk 461,KALLANG,1.30551803523268,103.8605449516032,60021.0,Kallang Bahru,Chubb S'pore,KALLANG,1.31828596087227,103.86669874193285
5831,2020-01,WEEKENDS/HOLIDAY,23,BUS,1211,60021,60,1211.0,Victoria St,Opp Blk 461,KALLANG,1.30551803523268,103.8605449516032,60021.0,Kallang Bahru,Chubb S'pore,KALLANG,1.31828596087227,103.86669874193285
5832,2020-01,WEEKENDS/HOLIDAY,8,BUS,65039,63039,620,65039.0,Punggol Rd,Blk 124,SENGKANG,1.3873205898156398,103.90185567950668,63039.0,Upp S'goon Rd,Kovan Stn Exit C,HOUGANG,1.36026000003341,103.88538416663954
5833,2020-01,WEEKDAY,8,BUS,65039,63039,1560,65039.0,Punggol Rd,Blk 124,SENGKANG,1.3873205898156398,103.90185567950668,63039.0,Upp S'goon Rd,Kovan Stn Exit C,HOUGANG,1.36026000003341,103.88538416663954
5834,2020-01,WEEKENDS/HOLIDAY,18,BUS,60269,1239,504,60269.0,Upp S'goon Rd,Potong Pasir Stn Exit B,TOA PAYOH,1.33099030126892,103.86922890950602,1239.0,Jln Sultan,Sultan Plaza,KALLANG,1.30291236608351,103.86161817611134
5835,2020-01,WEEKDAY,18,BUS,60269,1239,864,60269.0,Upp S'goon Rd,Potong Pasir Stn Exit B,TOA PAYOH,1.33099030126892,103.86922890950602,1239.0,Jln Sultan,Sultan Plaza,KALLANG,1.30291236608351,103.86161817611134
5836,2020-01,WEEKDAY,7,BUS,94059,92079,60,94059.0,Upp East Coast Rd,Temasek Sec Sch,BEDOK,1.31707137658578,103.94798092494041,92079.0,Marine Parade Rd,Blk 57,MARINE PARADE,1.3068457580809598,103.91574700260745
5837,2020-01,WEEKENDS/HOLIDAY,7,BUS,94059,92079,20,94059.0,Upp East Coast Rd,Temasek Sec Sch,BEDOK,1.31707137658578,103.94798092494041,92079.0,Marine Parade Rd,Blk 57,MARINE PARADE,1.3068457580809598,103.91574700260745
5838,2020-01,WEEKDAY,16,BUS,52009,81221,20,52009.0,Lor 6 Toa Payoh,Toa Payoh Int,TOA PAYOH,1.33202083385749,103.84692763524868,81221.0,Geylang East Ctrl,Opp Blk 1015,GEYLANG,1.3197633128056798,103.89015111975269
5839,2020-01,WEEKENDS/HOLIDAY,22,BUS,77309,76239,10,77309.0,Pasir Ris St 71,Opp Blk 778,PASIR RIS,1.37437639672106,103.93874482147837,76239.0,Tampines Ave 7,Blk 390,TAMPINES,1.3564927293972,103.9575482648125
