Row Labels,,,
Ang Mo Kio,,,
Tampines,"'Tampines', ",,
Paya Lebar East,"'Paya Lebar East', ",,"'Paya Lebar East', 'Paya Lebar North', 'Simei', 'Tampines East', 'Tampines North', 'Tampines West', 'Xilin', "
Paya Lebar North,"'Paya Lebar North', ",,
Simei,"'Simei', ",,
Tampines East,"'Tampines East', ",,
Tampines North,"'Tampines North', ",,
Tampines West,"'Tampines West', ",,
Xilin,"'Xilin', ",,
Toa Payoh,"'Toa Payoh', ",,
Bidadari,"'Bidadari', ",,"'Bidadari', 'Boon Teck', 'Braddell', 'Joo Seng', 'Kallang Way', 'Kim Keat', 'Lorong 8 Toa Payoh', 'Macpherson', 'Mount Pleasant', 'Pei Chun', 'Potong Pasir', 'Sennett', 'Tai Seng', 'Toa Payoh Central', 'Toa Payoh West', 'Upper Paya Lebar', 'Woodleigh', "
Boon Teck,"'Boon Teck', ",,
Braddell,"'Braddell', ",,
Joo Seng,"'Joo Seng', ",,
Kallang Way,"'Kallang Way', ",,
Kim Keat,"'Kim Keat', ",,
Lorong 8 Toa Payoh,"'Lorong 8 Toa Payoh', ",,
Macpherson,"'Macpherson', ",,
Mount Pleasant,"'Mount Pleasant', ",,
Pei Chun,"'Pei Chun', ",,
Potong Pasir,"'Potong Pasir', ",,
Sennett,"'Sennett', ",,
Tai Seng,"'Tai Seng', ",,
Toa Payoh Central,"'Toa Payoh Central', ",,
Toa Payoh West,"'Toa Payoh West', ",,
Upper Paya Lebar,"'Upper Paya Lebar', ",,
Woodleigh,"'Woodleigh', ",,
Tuas,"'Tuas', ",,
Gul Circle,"'Gul Circle', ",,"'Gul Circle', 'Tengeh', 'Tuas Bay', 'Tuas North', 'Tuas Promenade', 'Tuas View', 'Tuas View Extension', "
Tengeh,"'Tengeh', ",,
Tuas Bay,"'Tuas Bay', ",,
Tuas North,"'Tuas North', ",,
Tuas Promenade,"'Tuas Promenade', ",,
Tuas View,"'Tuas View', ",,
Tuas View Extension,"'Tuas View Extension', ",,
Western Water Catchment,"'Western Water Catchment', ",,
Western Water Catchment,"'Western Water Catchment', ",,"'Western Water Catchment', "
Woodlands,"'Woodlands', ",,
Greenwood Park,"'Greenwood Park', ",,"'Greenwood Park', 'Midview', 'North Coast', 'Senoko South', 'Senoko West', 'Woodgrove', 'Woodlands East', 'Woodlands Regional Centre', 'Woodlands South', 'Woodlands West', "
Midview,"'Midview', ",,
North Coast,"'North Coast', ",,
Senoko South,"'Senoko South', ",,
Senoko West,"'Senoko West', ",,
Woodgrove,"'Woodgrove', ",,
Woodlands East,"'Woodlands East', ",,
Woodlands Regional Centre,"'Woodlands Regional Centre', ",,
Woodlands South,"'Woodlands South', ",,
Woodlands West,"'Woodlands West', ",,
Yishun,"'Yishun', ",,
Khatib,"'Khatib', ",,"'Khatib', 'Lower Seletar', 'Mandai East', 'Mandai Estate', 'Nee Soon', 'Northland', 'Seletar Aerospace Park', 'Springleaf', 'Yishun Central', 'Yishun East', 'Yishun South', 'Yishun West', "
Lower Seletar,"'Lower Seletar', ",,
Mandai East,"'Mandai East', ",,
Mandai Estate,"'Mandai Estate', ",,
Nee Soon,"'Nee Soon', ",,
Northland,"'Northland', ",,
Seletar Aerospace Park,"'Seletar Aerospace Park', ",,
Springleaf,"'Springleaf', ",,
Yishun Central,"'Yishun Central', ",,
Yishun East,"'Yishun East', ",,
Yishun South,"'Yishun South', ",,
Yishun West,"'Yishun West', ",,
(blank),"'(blank)', ",,
(blank),"'(blank)', ",,
Grand Total,"'Grand Total', ",,
