,0
1858,12069
1859,17119
1860,17109
1861,17099
1862,16161
1863,16171
1864,16181
1865,16191
1866,16199
1867,16189
1868,16179
1869,16169
1870,17091
1871,17101
1872,17111
1873,12061
1874,12071
1875,12081
1876,12091
1877,12101
1878,42141
1879,42059
1880,42049
1881,42039
1882,42029
1883,42019
1884,41089
1885,41079
1886,41069
1887,41049
1888,41029
1889,41019
1890,40099
1891,70101
1892,70111
1893,70121
1894,70131
1895,70141
1896,71011
1897,71171
1898,71021
1899,71069
1900,71059
1901,62249
1902,62239
1903,63109
1904,64241
1905,11091
1906,11101
1907,11111
1908,41101
1909,41111
1910,66081
1911,41119
1912,41109
1913,11119
1914,11109
1915,11099
1916,22009
1917,21699
1918,21689
1919,28099
1920,21669
1921,21659
1922,21649
1923,21639
1924,21759
1925,21769
1926,21779
1927,21559
1928,21179
1929,21029
1930,21019
1931,20089
1932,20069
1933,20059
1934,20039
1935,20029
1936,17059
1937,82229
1938,17051
1939,20021
1940,20031
1941,20051
1942,20061
1943,20081
1944,21011
1945,21021
1946,21171
1947,21551
1948,21771
1949,21761
1950,21751
1951,21631
1952,21641
1953,21651
1954,21661
1955,28091
1956,21681
1957,21691
1958,52251
1959,93031
1960,93041
1961,84169
1962,84161
1963,93049
1964,93039
1965,83131
1966,83141
1967,83029
1968,52259
1969,67009
1970,66489
1971,54531
1972,53241
1973,52019
1974,51139
1975,42129
1976,42139
1977,11349
1978,11339
1979,11329
1980,11319
1981,11309
1982,11291
1983,12021
1984,12031
1985,12041
1986,12051
1987,12111
1988,17249
1989,17241
1990,12119
1991,12059
1992,12049
1993,12039
1994,12029
1995,11299
1996,11301
1997,11311
1998,11321
1999,11331
2000,11341
2001,42131
2002,51131
2003,52011
2004,53249
2005,54539
2006,66481
2007,52261
2008,52029
2009,51079
2010,51119
2011,40269
2012,40259
2013,41159
2014,41169
2015,41139
2016,41129
2017,42071
2018,42151
2019,42161
2020,42171
2021,42181
2022,42191
2023,43201
2024,43191
2025,43419
2026,43401
2027,43531
2028,43341
2029,43453
2030,28299
2031,28451
2032,28461
2033,28491
2034,28501
2035,28511
2036,28521
2037,28401
2038,28531
2039,21161
2040,21389
2041,21379
2042,21369
2043,21361
2044,21371
2045,21381
2046,21169
2047,28539
2048,28409
2049,28529
2050,28519
2051,28509
2052,28499
2053,28469
2054,28459
2055,28291
2056,43459
2057,43349
2058,43539
2059,43409
2060,43411
2061,43199
2062,43209
2063,42199
2064,42189
2065,42179
2066,42169
2067,42159
2068,42259
2069,42089
2070,41121
2071,41131
2072,41141
2073,41151
2074,40251
2075,40261
2076,51111
2077,52269
2078,62179
2079,62169
2080,62159
2081,62069
2082,70309
2083,70299
2084,70289
2085,70279
2086,70269
2087,91089
2088,90069
2089,90059
2090,90051
2091,90061
2092,91081
2093,70261
2094,70271
2095,70281
2096,70291
2097,70301
2098,62061
2099,62151
2100,62161
2101,62171
2102,66539
2103,66529
2104,66519
2105,66459
2106,54659
2107,54509
2108,54499
2109,54489
2110,54479
2111,54359
2112,54349
2113,54341
2114,54351
2115,54471
2116,54481
2117,54491
2118,54501
2119,54651
2120,66451
2121,66511
2122,66521
2123,66531
2124,92181
2125,92171
2126,82139
2127,82129
2128,13139
2129,13119
2130,06129
2131,06131
2132,13121
2133,82121
2134,82131
2135,92179
2136,92189
2137,28071
2138,28081
2139,28281
2140,43761
2141,43751
2142,43781
2143,43771
2144,43671
2145,44171
2146,44161
2147,44151
2148,44131
2149,44141
2150,44041
2151,44051
2152,43991
2153,44061
2154,45011
2155,45021
2156,45031
2157,45041
2158,45051
2159,45061
2160,45071
2161,45091
2162,45101
2163,45111
2164,45121
2165,45131
2166,46389
2167,46499
2168,46519
2169,46509
2170,46101
2171,46211
2172,47711
2173,46219
2174,46109
2175,46059
2176,46049
2177,46039
2178,46029
2179,45139
2180,45129
2181,45119
2182,45109
2183,45099
2184,45079
2185,45069
2186,45059
2187,45049
2188,45039
2189,45029
2190,44999
2191,45019
2192,44069
2193,44059
2194,44049
2195,44149
2196,44139
2197,44159
2198,44169
2199,44179
2200,43679
2201,43779
2202,43789
2203,43759
2204,43769
2205,28289
2206,28089
2207,28079
2208,46229
2209,46339
2210,46639
2211,46009
2212,46631
2213,46331
2214,46221
2215,53331
2216,53341
2217,53351
2218,53361
2219,53369
2220,53359
2221,53349
2222,53339
2223,65049
2224,65039
2225,65029
2226,67219
2227,67269
2228,67339
2229,67299
2230,67309
2231,67329
2232,67479
2233,67489
2234,67499
2235,67281
2236,67651
2237,67039
2238,67029
2239,67019
2240,55109
2241,55089
2242,55079
2243,55059
2244,55049
2245,55039
2246,55029
2247,55019
2248,56039
2249,56029
2250,56019
2251,56011
2252,56021
2253,56031
2254,55011
2255,55021
2256,55031
2257,55041
2258,55051
2259,55071
2260,55081
2261,55101
2262,67011
2263,67021
2264,67659
2265,67289
2266,67491
2267,67481
2268,67471
2269,67321
2270,67301
2271,67291
2272,67331
2273,67261
2274,67211
2275,65021
2276,65031
2277,65041
2278,11261
2279,11271
2280,11281
2281,11289
2282,11279
2283,11269
2284,50019
2285,05189
2286,05259
2287,05239
2288,10021
2289,18119
2290,19089
2291,19091
2292,19099
2293,19071
2294,19081
2295,18111
2296,40011
2297,40101
2298,50011
2299,58151
2300,58029
2301,58019
2302,57139
2303,57129
2304,57119
2305,57089
2306,57079
2307,57069
2308,57059
2309,57049
2310,57039
2311,57029
2312,05631
2313,05521
2314,05519
2315,05629
2316,57021
2317,57031
2318,57041
2319,57051
2320,57061
2321,57071
2322,57081
2323,57111
2324,57121
2325,57131
2326,58011
2327,58021
2328,58159
2329,84521
2330,84201
2331,75341
2332,75061
2333,76541
2334,76549
2335,75069
2336,75349
2337,84209
2338,84529
2339,46271
2340,46269
2341,46451
2342,46461
2343,46471
2344,46481
2345,46721
2346,46711
2347,47071
2348,47821
2349,47811
2350,47801
2351,58141
2352,58161
2353,58171
2354,58181
2355,58191
2356,58201
2357,58069
2358,58059
2359,58049
2360,59339
2361,59549
2362,59559
2363,59551
2364,59541
2365,59331
2366,58041
2367,58051
2368,58061
2369,58209
2370,58199
2371,58189
2372,58179
2373,58169
2374,58149
2375,47809
2376,47819
2377,47829
2378,47079
2379,46719
2380,46729
2381,46489
2382,46479
2383,46469
2384,46459
2385,46261
2386,46279
2387,78119
2388,78221
2389,78151
2390,78161
2391,76099
2392,76089
2393,76079
2394,84439
2395,84599
2396,84279
2397,84269
2398,84259
2399,84349
2400,84329
2401,84319
2402,84309
2403,84301
2404,84311
2405,84321
2406,84341
2407,84251
2408,84261
2409,84271
2410,84591
2411,84431
2412,76071
2413,76081
2414,76091
2415,78169
2416,78159
2417,78229
2418,78111
2419,01109
2420,07551
2421,07531
2422,40271
2423,40021
2424,40031
2425,40041
2426,40051
2427,40111
2428,40071
2429,40081
2430,42091
2431,42111
2432,43011
2433,43021
2434,43041
2435,43051
2436,43061
2437,43071
2438,43081
2439,43091
2440,43111
2441,44011
2442,44021
2443,46021
2444,46031
2445,46041
2446,46051
2447,46069
2448,46088
2449,46239
2450,46091
2451,44029
2452,44019
2453,43119
2454,43109
2455,43099
2456,43089
2457,43069
2458,43059
2459,43049
2460,43029
2461,43019
2462,42119
2463,42109
2464,40089
2465,40079
2466,40119
2467,40069
2468,40059
2469,40049
2470,40039
2471,40029
2472,40279
2473,59141
2474,59111
2475,48149
2476,48019
2477,44269
2478,44229
2479,44219
2480,44209
2481,44731
2482,44909
2483,02099
2484,02101
2485,44251
2486,44739
2487,44201
2488,44211
2489,44221
2490,44261
2491,48011
2492,48141
2493,59119
2494,59149
2495,44009
2496,44539
